
id,TransactionID,Date,CustomerID,PartNo,Quantity,Rate,TotalPrice,PartDescription,Category,Source,VehicleMake
0,4449,17-08-2025,CUST-659,PN000000,2,5.7,11.4,CLUTCHDISK,Others,Source,Toyota
1,4720,25-04-2024,CUST-190,PN000001,15,13.75,206.25,PISTON RING,Others,OEM,Toyota
2,7384,29-03-2025,CUST-418,PN000002,4,0.9,3.6,PISTON RING,Others,OEM,Toyota
3,4061,23-04-2025,CUST-279,PN000003,12,11.78,141.36,CHAIN TENSIONER,Others,OEM,Mitsubishi
4,7950,29-05-2025,CUST-569,PN000004,19,5.7,108.3,GASKET KIT,Others,Aftermarket,Toyota
5,5677,19-06-2025,CUST-399,PN000005,10,13.3,133.0,TIMING BELT,Others,OEM,VehicleMake
6,5889,30-05-2025,CUST-593,PN000006,19,3.4,64.6,PETROLLOAR ,Others,OEM,Toyota
7,2492,15-04-2024,CUST-123,PN000007,12,16.39,196.68,FUEL PUMP,Others,OEM,Toyota
8,5375,29-01-2024,CUST-486,PN000008,15,12.3,184.5,BRAKE PAD,Others,OEM,Toyota
9,7365,14-04-2025,CUST-158,PN000009,14,5.7,79.8,AXLE BOOT,Others,Aftermarket,VehicleMake
10,7425,03-08-2025,CUST-287,PN000010,11,12.3,135.3,BELT,Others,Source,Toyota
11,4703,01-08-2024,CUST-573,PN000011,19,3.12,59.28,BELT,Others,Aftermarket,Nissan
12,2028,20-05-2024,CUST-381,PN000012,16,8.2,131.2,PISTON RING,Others,OEM,Toyota
13,4129,02-07-2025,CUST-146,PN000013,13,12.3,159.9,OIL SEAL,Others,Source,Honda
14,9214,17-05-2025,CUST-637,PN000014,2,9.69,19.38,GASKET KIT,Others,OEM,Toyota
15,7636,28-07-2025,CUST-693,PN000015,12,2.3,27.6,FUEL PUMP,Others,Aftermarket,Generic
16,6120,29-01-2024,CUST-288,PN000016,1,13.8,13.8,CHAIN TENSIONER,Others,OEM,Toyota
17,7225,15-05-2024,CUST-513,PN000017,13,6.01,78.13,PISTON RING,Others,OEM,Generic
18,1990,25-07-2025,CUST-250,PN000018,14,14.6,204.4,CLUTCH DISK,Others,OEM,Toyota
19,6396,29-08-2024,CUST-383,PN000019,1,2.3,2.3,COOLANT,Others,Aftermarket,Toyota
20,3430,01-11-2024,CUST-966,PN000020,15,13.3,199.5,GROMMET,Others,Aftermarket,Generic
21,5947,04-09-2024,CUST-307,PN000021,15,11.9,178.5,PISTON RING,Others,Aftermarket,VehicleMake
22,7906,27-09-2023,CUST-749,PN000022,14,1.1,15.4,CLUTCH COVER,Others,Aftermarket,Toyota
23,3546,09-01-2025,CUST-300,PN000023,20,19.04,380.8,BELT,Others,OEM,Toyota
24,3444,17-09-2023,CUST-197,PN000024,13,12.8,166.4,LOWER ARMS,Others,OEM,Generic
25,5411,22-08-2024,CUST-451,PN000025,7,12.3,86.1,BALL JOINT,Others,OEM,Toyota
26,6343,17-02-2024,CUST-132,PN000026,15,3.09,46.35,SPARK PLUG,Others,Aftermarket,Toyota
27,9397,24-11-2024,CUST-887,PN000027,16,3.8,60.8,COOLANT,Others,Source,Honda
28,2988,28-03-2024,CUST-261,PN000028,17,14.2,241.4,PETROLS GASKET,Others,OEM,Mitsubishi
29,9177,14-06-2025,CUST-550,PN000029,12,13.3,159.6,CLUTCH DISK,Others,OEM,Toyota
30,9378,25-12-2024,CUST-277,PN000030,17,19.88,337.96,GROMMET,Others,OEM,Mitsubishi
31,3373,15-05-2025,CUST-188,PN000031,14,14.6,204.4,VENTILATION VALVE,Others,Aftermarket,Toyota
32,3455,11-11-2024,CUST-992,PN000032,18,8.56,154.08,CLUTCH DISK,Others,Aftermarket,Honda
33,7409,10-06-2024,CUST-183,PN000033,12,24.7,296.4,GROMMET,Others,Aftermarket,Honda
34,2933,09-02-2024,CUST-237,PN000034,11,13.3,146.3,LINK ROD,Others,Aftermarket,Generic
35,9942,01-08-2025,CUST-619,PN000035,5,12.95,64.75,UNIVERSAL JOINT,Others,Aftermarket,Mitsubishi
36,3761,24-02-2025,CUST-473,PN000036,10,3.4,34.0,LUBRICANT,Others,Source,Generic
37,2198,08-08-2025,CUST-268,PN000037,12,3.11,37.32,GASKET KIT,Others,Source,Mitsubishi
38,2938,07-04-2024,CUST-611,PN000038,11,8.0,88.0,CON ROD BEARING,Others,Aftermarket,Mitsubishi
39,4766,22-04-2024,CUST-274,PN000039,15,8.5,127.5,CHAIN TENSIONER,Others,Aftermarket,Mitsubishi
